year,event,gender,place,athlete_id,athlete_name,school,mark
2025,LJ,M,4,8725163,Charles Godfred,Minnesota,10.12m
2025,LJ,M,5,8986893,Lokesh Sathyanathan,Tarleton State,7.52m
2025,LJ,M,6,8599966,Tyson Adams,NC State,6.33m
2025,LJ,M,7,8329029,Greg Foster,Princeton,5.77m
2025,LJ,M,8,8996696,Jayden Keys,Georgia,6.32m
2025,TJ,M,1,8283704,Brandon Green Jr,Oklahoma,13.45m
2025,TJ,M,2,8714172,Floyd Whitaker,Oklahoma,15.43m
2025,TJ,M,3,8368601,Kyvon Tatham,Florida State,11.69m
2025,TJ,M,4,7987465,Luke Brown,Kentucky,13.91m
2025,TJ,M,5,9011661,Selva Prabhu,Kansas State,16.57m
2025,TJ,M,6,8358263,Theophilus Mudzengerere,South Carolina,13.68m
2025,TJ,M,7,7979847,Safin Wills,Oregon,19.93m
2025,TJ,M,8,8674331,Stafon Roach,ULM,18.39m
2025,SP,M,1,7727861,Jason Swarens,Wisconsin,15.92m
2025,SP,M,2,7725397,Thomas Kitchell,North Carolina,24.47m
2025,SP,M,3,8341371,Tarik Robinson-O'Hagan,Ole Miss,26.53m
2025,SP,M,4,8672432,Kobe Lawrence,Oregon,25.81m
2025,SP,M,5,8369390,Christopher Licata,South Carolina,18.74m
2025,SP,M,6,7722255,Danny Bryant,BYU,17.34m
2025,SP,M,7,7729961,Dylan  Targgart,South Carolina,19.87m
2025,SP,M,8,8319513,Fred Moudani Likibi,Cincinnati,15.36m
2025,DT,M,1,7930060,Ralford  Mullings,Oklahoma,69.31m
2025,DT,M,2,8019706,Mykolas Alekna,California,66.77m
2025,DT,M,3,8367906,Uladzislau Puchko,Virginia Tech,63.94m
2025,DT,M,4,8699158,Racquil Broderick,USC,63.31m
2025,DT,M,5,8376077,Michael Pinckney,UCLA,61.39m
2025,DT,M,6,7983335,Dimitrios Pavlidis,Kansas,61.04m
2025,DT,M,7,8700044,Vincent Ugwoke,South Florida,60.58m
2025,DT,M,8,8682097,Aron  Alvarez Aranda,Tennessee,59.87m
2025,HT,M,1,7537882,Kostas Zaltos,Minnesota,67.93m
2025,HT,M,2,8676284,Angelos Mantzouranis,Minnesota,56.18m
2025,HT,M,3,8341371,Tarik Robinson-O'Hagan,Ole Miss,67.57m
2025,HT,M,4,8324710,Texas  Tanner,Air Force,81.24m
2025,HT,M,5,8440603,Rory Devaney,Cal Poly,64.52m
2025,HT,M,6,9014928,Ryan  Johnson,Iowa,62.56m
2025,HT,M,7,8673338,Daniel Reynolds,Wyoming,83.62m
2025,HT,M,8,8705111,Christian Toro,Duke,76.52m
2025,JT,M,1,7655614,Devoux Deysel,Miami (Fla.),72.76m
2025,JT,M,2,8714790,Leikel Cabrera Gay,Florida,60.08m
2025,JT,M,3,8711055,Callan Saldutto,Missouri,77.65m
2025,JT,M,4,9047243,Moustafa Alsherif,Georgia,77.46m
2025,JT,M,5,8364008,Keyshawn Strachan,Nebraska,96.31m
2025,JT,M,6,8321686,Mike Stein,Iowa,71.22m
2025,JT,M,7,7546466,Arthur Petersen,Nebraska,77.77m
2025,JT,M,8,8121538,James Kotowski,UMass Lowell,62.40m
2025,100,W,1,8107788,Samirah Moody,USC,9.03
2025,100,W,2,8675923,JaMeesia Ford,South Carolina,8.25
2025,100,W,3,8714489,Tima Godbless,LSU,10.75
2025,100,W,4,8679347,Anthaya Charlton,Florida,13.99
2025,100,W,5,8003629,Leah Bertrand,Ohio State,10.88
2025,100,W,6,8712626,Shenese Walker,Florida State,12.24
2025,100,W,7,8368619,Dajaz Defrand,USC,14.38
2025,100,W,8,8977035,Brianna Selby,USC,9.57
2025,200,W,1,8675923,JaMeesia Ford,South Carolina,22.21
2025,200,W,2,8699147,Madison Whyte,USC,22.23
2025,200,W,3,8368619,Dajaz Defrand,USC,22.39
2025,200,W,4,8003629,Leah Bertrand,Ohio State,22.60
2025,200,W,5,8364545,Jasmine Montgomery,Texas A&M,22.61
2025,200,W,6,8647431,Kenondra Davis,Texas,22.66
2025,200,W,7,7986734,Jayla Jamison,South Carolina,22.77
2025,200,W,8,8341502,Gabrielle Matthews,Florida,22.84
2025,400,W,1,8235200,Aaliyah Butler,Georgia,49.26
2025,400,W,2,8364135,Dejanea Oakley,Georgia,49.65
2025,400,W,3,7478918,Rosey Effiong,Arkansas,50.51
2025,400,W,4,8359937,Ella Onojuvwevwo,LSU,50.57
2025,400,W,5,8677962,Kaylyn Brown,Arkansas,51.30
2025,400,W,6,8338531,Rachel Joseph,Iowa State,51.36
2025,400,W,7,6995056,Sami Oblad,BYU,51.57
2025,400,W,8,8712628,Kaelyaah Liburd,Florida State,51.69
2025,800,W,1,8239785,Roisin Willis,Stanford,1:32.15
2025,800,W,2,7908137,Makayla Paige,North Carolina,1:23.28
2025,800,W,3,7722268,Meghan Hunter,BYU,2:06.18
2025,800,W,4,7930954,Michaela Rose,LSU,2:25.76
2025,800,W,5,8321329,Lauren Tolbert,Duke,1:41.90
2025,800,W,6,8617013,Smilla Kolbe,North Florida,1:49.54
2025,800,W,7,7735951,Laura  Pellicoro,Portland,1:30.63
2025,800,W,8,8584868,Veronica Hargrave,Indiana,2:32.46
2025,1500,W,1,7730040,Sophie O'Sullivan,Washington,4:07.94
2025,1500,W,2,7897037,Margot  Appleton,Virginia,4:08.99
2025,1500,W,3,7815743,Maggi Congdon,Northern Arizona,4:09.31
2025,1500,W,4,8288637,Silan  Ayyildiz,Oregon,4:09.75
2025,1500,W,5,8261269,Klaudia Kazimierska,Oregon,4:10.42
2025,1500,W,6,7889042,Kimberley May,Providence,4:10.79
2025,1500,W,7,7402013,Lindsey Butler,Virginia Tech,4:10.79
2025,1500,W,8,8324602,Chloe Foerster,Washington,4:11.03
2025,5000,W,1,8916070,Pamela Kosgei,New Mexico,17:16.70
2025,5000,W,2,8267707,Vera Sjoberg,Boston University,19:37.81
2025,5000,W,3,8592999,Sophia Kennedy,Stanford,12:37.42
2025,5000,W,4,9020090,Marion Jepngetich,New Mexico,12:00.06
2025,5000,W,5,8242189,Grace Hartman,NC State,11:41.55
2025,5000,W,6,8585341,Paityn Noe,Arkansas,16:31.96
2025,5000,W,7,9001984,Agnes McTighe,Northern Arizona,19:57.92
2025,5000,W,8,8982729,Amina Maatoug,Washington,18:05.68
2025,10k,W,1,8916070,Pamela Kosgei,New Mexico,31:17.82
2025,10k,W,2,8242189,Grace Hartman,NC State,31:32.15
2025,10k,W,3,8920567,Joy Naukot,West Virginia,31:34.34
2025,10k,W,4,8585341,Paityn Noe,Arkansas,31:36.91
2025,10k,W,5,7893942,Chloe Scrimgeour,Georgetown,31:41.68
2025,10k,W,6,9012348,Edna Chepkemoi,LSU,32:10.75
2025,10k,W,7,7891172,Rosina Machu,Gonzaga,32:15.49
2025,10k,W,8,8711956,Brenda Tuwei,Alabama,32:20.14
2025,100H,W,1,8354291,Aaliyah McCormick,Oregon,10.76
2025,100H,W,2,8364031,Jaiya Covington,Texas A&M,15.00
2025,100H,W,3,8986740,Marcia Sey,Howard,15.91
2025,100H,W,4,9006522,Ana-Liese Torian,Auburn,15.41
2025,100H,W,5,8316097,Oneka Wilson,Clemson,13.94
2025,100H,W,6,8345801,Janela Spencer,Ohio State,13.25
2025,400H,W,1,8011524,Savannah Sutherland,Michigan,46.69
2025,400H,W,2,8647433,Akala Garrett,Texas,43.73
2025,400H,W,3,8996686,Michelle Smith,Georgia,57.96
2025,400H,W,4,8336291,Sanaa Hebron,Miami (Fla.),1:04.34
2025,400H,W,5,8368627,Tyra Wilson,Florida State,56.13
2025,400H,W,6,8332686,Chloe Fair,Harvard,54.14
2025,400H,W,7,8705610,Amelliah Birdow,TCU,56.40
2025,400H,W,8,8369558,Allyria McBride,Vanderbilt,58.45
2025,3000S,W,1,8614328,Doris Lemngole,Alabama,8:58.15
2025,3000S,W,2,7712194,Lexy Halladay-Lowry,BYU,9:08.68
2025,3000S,W,3,8594424,Angelina Napoleon,NC State,9:16.66
2025,3000S,W,4,8585677,Sarah Tait,West Virginia,9:27.80
2025,3000S,W,5,8917740,Debora Cherono,Texas A&M,9:32.10
2025,3000S,W,6,7917518,Katelyn Stewart-Barnett,Michigan State,9:33.21
2025,3000S,W,7,8704570,Shelby Jensen,Utah State,9:36.61
2025,3000S,W,8,8917138,Leah Jeruto,Oklahoma,9:38.94
2025,4x100,W,1,,,USC,45.18
2025,4x100,W,2,,,South Carolina,44.95
2025,4x100,W,3,,,Texas A&M,35.17
2025,4x100,W,4,,,TCU,42.97
2025,4x100,W,5,,,Texas,39.98
2025,4x100,W,6,,,Howard,47.99
2025,4x100,W,7,,,Florida State,49.80
2025,4x100,W,8,,,LSU,39.43
2025,4x400,W,1,,,Georgia,3:23.62
2025,4x400,W,2,,,Arkansas,3:24.25
2025,4x400,W,3,,,USC,3:26.01
2025,4x400,W,4,,,Texas A&M,3:27.11
2025,4x400,W,5,,,Duke,3:27.40
2025,4x400,W,6,,,Iowa,3:27.42
2025,4x400,W,7,,,UCLA,3:31.14
2025,4x400,W,8,,,Miami (Fla.),3:47.22
2025,HJ,W,1,8005705,Elena Kulichenko,Georgia,1.96m
2025,HJ,W,2,8679706,Rose Yeboah,Illinois,1.93m
2025,HJ,W,3,7727577,Jenna Rogers,Nebraska,1.90m
2025,HJ,W,4,8324337,Alyssa Jones,Stanford,1.90m
2025,HJ,W,5,8701620,Temitope Adeshina,Texas Tech,1.87m
2025,HJ,W,6,8983909,Kristi Perez-Snyman,Missouri,1.87m
2025,HJ,W,7,8676337,Celia Rifaterra,Virginia,1.84m
2025,HJ,W,8,8996991,Valentina Fakrogha,UCLA,1.84m
2025,PV,W,1,8676762,Hana Moll,Washington,4.50m
2025,PV,W,2,7980608,Chloe Timberg,Rutgers,4.36m
2025,PV,W,3,8676761,Amanda Moll,Washington,5.34m
2025,PV,W,6,8354288,Emily Fitzsimmons,Oregon,5.24m
2025,PV,W,7,7484536,Gennifer Hirata,South Dakota,3.60m
2025,LJ,W,1,7731621,Synclair Savage,Louisville,6.72m
2025,LJ,W,2,8324337,Alyssa Jones,Stanford,6.70m
2025,LJ,W,3,7533309,Alexis Brown,Baylor,6.63m
2025,LJ,W,4,8015591,Tacoria Humphrey,Illinois,6.62m
2025,LJ,W,5,8679347,Anthaya Charlton,Florida,6.58m
2025,LJ,W,6,8664744,Sophia  Beckmon,Illinois,6.49m
2025,LJ,W,7,8647432,Aaliyah Foster,Texas,6.47m
2025,LJ,W,8,9063858,Prestina Ochonogor,Tarleton State,6.41m
2025,TJ,W,1,8374480,Winny Bii,Texas A&M,13.96m
2025,TJ,W,2,8010632,Emilia Sjostrand,San Jose St.,13.88m
2025,TJ,W,3,8283682,Agur  Dwol,Oklahoma,13.77m
2025,TJ,W,4,7974393,Shantae Foreman,Clemson,13.72m
2025,TJ,W,5,7491670,Victoria Gorlova,Texas Tech,13.53m
2025,TJ,W,6,8996687,Skylynn Townsend,Georgia,13.52m
2025,TJ,W,7,9013735,Ashley Moore,Oklahoma,13.30m
2025,TJ,W,8,7726437,Ryann Porter,Oregon,13.22m
2025,SP,W,1,7727870,Mya Lesnar,Colorado St.,19.01m
2025,SP,W,2,9007180,Abria Smith,Illinois,18.85m
2025,SP,W,3,8647437,Nina Ndubuisi,Texas,18.50m
2025,SP,W,4,8673346,Jayden Ulrich,Louisville,18.26m
2025,SP,W,5,8977029,Ashley Erasmus,USC,17.99m
2025,SP,W,6,8634276,Kelsie Murrell-Ross,Georgia,17.80m
2025,SP,W,7,8691791,MyeJoi Williams,Alabama,17.73m
2025,SP,W,8,7746659,Cierra Jackson,Fresno State,17.70m
2025,DT,W,1,7746659,Cierra Jackson,Fresno State,70.43m
2025,DT,W,2,8398788,Alida Van Daalen,Florida,77.93m
2025,DT,W,3,7725119,Shelby Frank,Texas Tech,49.43m
2025,DT,W,4,8721010,Caisa-Marie Lindfors,California,71.96m
2025,DT,W,5,8924225,Amanda Ngandu-Ntumba,Cincinnati,61.38m
2025,DT,W,6,7513086,Adrienne Adams,Auburn,78.72m
2025,DT,W,7,8673346,Jayden Ulrich,Louisville,48.20m
2025,DT,W,8,7729050,Michaelle Valentin,FIU,51.91m
2025,HT,W,1,8634278,Stephanie Ratcliffe,Georgia,71.37m
2025,HT,W,2,7725119,Shelby Frank,Texas Tech,71.05m
2025,HT,W,3,8709403,Lara Roberts,Texas State,70.42m
2025,HT,W,4,7511460,Emma Robbins,Oklahoma State,69.27m
2025,HT,W,5,9016408,Giavonna Meeks,California,68.94m
2025,HT,W,6,8008554,Gudrun Hallgrimsdottir,VCU,68.66m
2025,HT,W,7,7719803,Kenna Curry,North Dakota,68.16m
2025,HT,W,8,7547302,Chloe Lindeman,Wisconsin,67.82m
2025,JT,W,1,8435569,Valentina Barrios Bornacelli,Missouri,62.00m
2025,JT,W,2,8996684,Manuela Rotundo,Georgia,60.35m
2025,JT,W,3,8705608,Irene Jepkemboi,TCU,60.31m
2025,JT,W,4,7986520,Lianna Davidson,Georgia,59.03m
2025,JT,W,5,7730318,Maddie Harris,Nebraska,58.36m
2025,JT,W,6,8996998,Jana van Schalkwyk,UCLA,57.07m
2025,JT,W,7,8473803,McKyla Van Der Westhuizen,Rice,56.65m
2025,JT,W,8,7977180,Kelsi Oldroyd,Utah Valley,56.37m
2024,100,M,1,8348286,Louie Hinchliffe,Houston,10.45
2024,100,M,2,8363992,Favour Ashe,Auburn,7.20
2024,100,M,3,8709992,Kanyinsola Ajayi,Auburn,7.81
2024,100,M,4,7989909,Godson Oghenebrume,LSU,10.83
2024,100,M,5,8700013,Saminu Abdul-Rasheed,South Florida,9.52
2024,100,M,6,8709986,Wanya McCoy,Florida,7.33
2024,100,M,7,7721646,Shaun Maswanganyi,Houston,7.24
2024,100,M,8,8367318,Zachaeus  Beard,Northwestern St.,10.71
2024,200,M,1,8674190,Cheickna Traore,Penn State,19.95
2024,200,M,2,8363938,Robert Gregory,Florida,20.08
2024,200,M,3,8700013,Saminu Abdul-Rasheed,South Florida,20.12
2024,200,M,4,8016458,Tarsis Orogot,Alabama,20.14
2024,200,M,5,7984341,Makanakaishe Charamba,Auburn,20.20
2024,200,M,6,7721646,Shaun Maswanganyi,Houston,20.25
2024,200,M,7,8318061,Jamarion Stubbs,Alabama State,20.59
2024,200,M,8,7482112,Lance Lang,Arkansas,20.67
2024,400,M,1,8235187,Christopher Morales Williams,Georgia,40.92
2024,400,M,2,8691776,Samuel Ogazi,Alabama,48.53
2024,400,M,3,8363942,JeVaughn Powell,Florida,31.18
2024,400,M,4,8022254,Johnnie Blockburger,USC,41.76
2024,400,M,5,8235489,Judson Lincoln IV,Virginia Tech,39.88
2024,400,M,6,7487901,Emmanuel Bynum,Tennessee,45.30
2024,400,M,7,8709973,Reheem  Hayles,Florida,47.62
2024,400,M,8,7930058,Justin  Robinson,Arizona State,50.06
2024,800,M,1,8621220,Shane  Cohen,Virginia,1:44.97
2024,800,M,2,7987288,Sam Whitmarsh,Texas A&M,1:45.10
2024,800,M,3,6904283,Finley McLear,Iowa State,1:45.66
2024,800,M,4,7974317,Tarees Rhoden,Clemson,1:45.70
2024,800,M,5,7383904,Sean Dolan,Villanova,1:45.89
2024,800,M,6,7725762,Yusuf Bizimana,Texas,1:46.37
2024,800,M,7,7945430,Kimar Farquharson,Texas A&M,1:46.38
2024,800,M,8,8235126,Nicholas Plant,Virginia Tech,1:47.00
2024,1500,M,1,7480799,Joe Waskom,Washington,3:48.26
2024,1500,M,2,7722809,Elliott Cook,Oregon,2:33.70
2024,1500,M,3,7899902,Adam Spencer,Wisconsin,2:40.46
2024,1500,M,4,8271041,Colin Sahlman,Northern Arizona,3:04.74
2024,1500,M,5,6900649,Damien Dilcher,Iona,3:31.43
2024,1500,M,6,7700480,Wes Porter,Virginia,3:47.01
2024,1500,M,7,7371800,Ezekiel  Rop,Iowa State,3:36.09
2024,1500,M,8,8074967,Anass  Essayi,South Carolina,2:38.99
2024,5000,M,1,7908131,Parker Wolfe,North Carolina,13:04.37
2024,5000,M,2,7711751,Nico Young,Northern Arizona,11:32.76
2024,5000,M,3,7697359,Ky Robinson,Stanford,10:34.60
2024,5000,M,4,8647595,Brian Musau,Oklahoma State,13:40.68
2024,5000,M,5,7919013,Graham Blanks,Harvard,15:38.35
2024,5000,M,6,8609549,Habtom Samuel,New Mexico,17:20.15
2024,5000,M,7,8009874,Toby Gillen,Ole Miss,13:08.66
2024,5000,M,8,7388515,Jesse Hamlin,Butler,15:14.63
2024,10k,M,1,8609549,Habtom Samuel,New Mexico,30:39.73
2024,10k,M,2,7895317,Victor Kiprop,Alabama,34:53.86
2024,10k,M,3,8647596,Denis  Kipngetich,Oklahoma State,29:00.96
2024,10k,M,4,8725440,Ernest Cheruiyot,Texas Tech,26:46.27
2024,10k,M,5,7554109,Chandler Gibbens,Kansas,35:30.50
2024,10k,M,6,7815149,Ian Kibiwot,Louisville,27:03.99
2024,10k,M,7,7889759,Sanele Masondo,Iowa State,25:07.03
2024,10k,M,8,7904836,Patrick Kiprop,Arkansas,34:43.61
2024,110H,M,1,7538550,Darius Luff,Nebraska,11.74
2024,110H,M,2,8709994,Ja'Kobe Tharp,Auburn,9.24
2024,110H,M,3,8712078,Ja'Qualon Scott,Texas A&M,12.74
2024,110H,M,4,8679005,Malachi Snow,San Jose St.,12.13
2024,110H,M,5,7070432,De' Vion Wilson,Houston,16.84
2024,110H,M,6,7491601,Samuel Bennett,Howard,15.07
2024,110H,M,7,8029490,Jerome Campbell,Northern Colorado,17.27
2024,110H,M,8,8359929,Matthew Sophia,LSU,10.96
2024,400H,M,1,7526270,Caleb Dean,Texas Tech,47.23
2024,400H,M,2,7535860,Chris Robinson,Alabama,47.98
2024,400H,M,3,8017719,Nathaniel Ezekiel,Baylor,48.88
2024,400H,M,4,8712078,Ja'Qualon Scott,Texas A&M,49.08
2024,400H,M,5,7993397,Oskar Edlund,Texas Tech,49.23
2024,400H,M,6,7746444,Corde Long,Alabama,49.47
2024,400H,M,7,8017812,Jakwan Hale,Tennessee,49.49
2024,400H,M,8,7729850,Sean Burrell,LSU,51.17
2024,3000S,M,1,7373057,Parker Stokes,Georgetown,8:19.54
2024,3000S,M,2,7979835,Nathan Mountain,Virginia,8:30.77
2024,3000S,M,3,6872531,Gable Sieperda,Iowa State,7:04.98
2024,3000S,M,4,8245050,Abdelhakim Abouzouhir,Eastern Kentucky,7:31.31
2024,3000S,M,5,8237169,CJ Singleton,Notre Dame,8:57.91
2024,3000S,M,6,8281094,Estanis Ruiz,Portland,8:17.99
2024,3000S,M,7,7700490,Yasin Sado,Virginia,10:04.73
2024,3000S,M,8,6874366,Alexander Korczynski,Northeastern,8:14.14
2024,4x100,M,1,,,Auburn,46.78
2024,4x100,M,2,,,LSU,42.42
2024,4x100,M,3,,,Houston,27.93
2024,4x100,M,4,,,Florida,43.71
2024,4x100,M,5,,,Texas,49.13
2024,4x400,M,1,,,Texas A&M,3:51.89
2024,4x400,M,2,,,Arkansas,2:24.86
2024,4x400,M,3,,,Florida,2:41.09
2024,4x400,M,4,,,Arizona State,2:13.85
2024,4x400,M,5,,,Tennessee,2:57.60
2024,4x400,M,6,,,Texas,3:05.04
2024,4x400,M,7,,,LSU,2:25.26
2024,4x400,M,8,,,USC,3:48.35
2024,HJ,M,1,7535392,Romaine Beckford,Arkansas,2.26m
2024,HJ,M,2,7977923,Tyus Wilson,Nebraska,2.72m
2024,HJ,M,3,7719884,Caleb  Snowden,Arkansas-Pine Bluff,1.81m
2024,HJ,M,4,8684031,Tito Alofe,Harvard,2.24m
2024,HJ,M,5,7983333,Devin Loudermilk,Kansas,2.07m
2024,HJ,M,6,8676195,Kyren Washington,Oklahoma,2.84m
2024,HJ,M,7,8634240,Riyon Rankin,Georgia,1.89m
2024,HJ,M,8,7730020,Brady Palen,Wichita State,1.89m
2024,PV,M,1,7599292,Keaton Daniel,Kentucky,5.16m
2024,PV,M,2,7983334,Clayton Simms,Kansas,5.11m
2024,PV,M,5,8664682,Cody  Johnston,Illinois,5.02m
2024,LJ,M,1,8343519,Chrstyn John (JC) Stevenson,USC,6.08m
2024,LJ,M,2,7524768,Jeremiah Davis,Florida State,9.04m
2024,LJ,M,3,7731971,Malcolm Clemons,Florida,8.61m
2024,LJ,M,4,7974466,Johnny Brackins,USC,8.59m
2024,LJ,M,5,7697085,Wayne Pinnock,Arkansas,9.58m
2024,LJ,M,6,8725163,Charles Godfred,Minnesota,6.79m
2024,LJ,M,7,8700012,Goodness Iredia,South Florida,8.88m
2024,LJ,M,8,7730053,Nikaoli Williams,Oklahoma,6.29m
2024,TJ,M,1,7791695,Salif Mane,FDU,17.14m
2024,TJ,M,2,7534785,Russell Robinson,Miami (Fla.),17.13m
2024,TJ,M,3,8283704,Brandon Green Jr,Oklahoma,16.63m
2024,TJ,M,4,7524768,Jeremiah Davis,Florida State,16.62m
2024,TJ,M,5,7987465,Luke Brown,Kentucky,16.44m
